configuracion,fitness_promedio,fitness_std,winrate_promedio,winrate_std,n_seeds
"pop=50,p0=0.002,cross=0.25,inst=BALANCED",-0.71195,0.018330918858772367,0.9961033333333333,0.012066667777989407,30
"pop=50,p0=0.002,cross=0.25,inst=EXPONENTIAL",-0.6926,0.029977106207099508,0.9836433333333333,0.027501945803679154,30
"pop=50,p0=0.002,cross=0.25,inst=PIECEWISE",-0.6994566666666666,0.022371312962769098,0.9898033333333334,0.01938215466712176,30
"pop=50,p0=0.002,cross=0.50,inst=BALANCED",-0.7162933333333333,0.017980467051839866,0.9973833333333333,0.009959991806302314,30
"pop=50,p0=0.002,cross=0.50,inst=EXPONENTIAL",-0.6981566666666666,0.028943317772469716,0.9875333333333334,0.025267879751305535,30
"pop=50,p0=0.002,cross=0.50,inst=PIECEWISE",-0.6985366666666667,0.0213501269209396,0.9906766666666666,0.01730034249876899,30
"pop=50,p0=0.002,cross=0.75,inst=BALANCED",-0.70509,0.03320122920449867,0.98538,0.02497778875390059,30
"pop=50,p0=0.002,cross=0.75,inst=EXPONENTIAL",-0.6921966666666667,0.02999207347390919,0.98414,0.028914828554650426,30
"pop=50,p0=0.002,cross=0.75,inst=PIECEWISE",-0.69908,0.01911299251186535,0.9917866666666667,0.01709012082710528,30
"pop=50,p0=0.020,cross=0.25,inst=BALANCED",-0.71429,0.026485342074958864,0.9922566666666667,0.023110807791628767,30
"pop=50,p0=0.020,cross=0.25,inst=EXPONENTIAL",-0.7021766666666667,0.021247631646249723,0.9908033333333334,0.019963993162403795,30
"pop=50,p0=0.020,cross=0.25,inst=PIECEWISE",-0.70268,0.013868580217216871,0.997,0.01149212624004982,30
"pop=50,p0=0.020,cross=0.50,inst=BALANCED",-0.71467,0.016444035707356863,0.9959133333333333,0.012611591092525054,30
"pop=50,p0=0.020,cross=0.50,inst=EXPONENTIAL",-0.7096466666666666,0.01932823079713004,0.98957,0.023021641242909705,30
"pop=50,p0=0.020,cross=0.50,inst=PIECEWISE",-0.69352,0.02472489182710551,0.9870633333333333,0.02320079492296485,30
"pop=50,p0=0.020,cross=0.75,inst=BALANCED",-0.7172966666666667,0.01742793008726041,0.9986666666666667,0.007302967433402222,30
"pop=50,p0=0.020,cross=0.75,inst=EXPONENTIAL",-0.7013033333333333,0.020809803447899986,0.9900333333333333,0.018954707054983196,30
"pop=50,p0=0.020,cross=0.75,inst=PIECEWISE",-0.69285,0.026063552963927376,0.98718,0.022969025619974284,30
"pop=50,p0=0.050,cross=0.25,inst=BALANCED",-0.7137666666666667,0.024715070557125227,0.99586,0.017476597159511973,30
"pop=50,p0=0.050,cross=0.25,inst=EXPONENTIAL",-0.6986766666666666,0.02745277679986104,0.9840333333333333,0.026892331086470884,30
"pop=50,p0=0.050,cross=0.25,inst=PIECEWISE",-0.69833,0.02066191148482872,0.9925266666666667,0.018274703324792866,30
"pop=50,p0=0.050,cross=0.50,inst=BALANCED",-0.7147766666666666,0.02182225506431346,0.9925066666666666,0.018130084225479723,30
"pop=50,p0=0.050,cross=0.50,inst=EXPONENTIAL",-0.69517,0.03261784100341618,0.9802033333333333,0.030432950419970257,30
"pop=50,p0=0.050,cross=0.50,inst=PIECEWISE",-0.6983566666666666,0.01968210605729414,0.99348,0.017952223952134347,30
"pop=50,p0=0.050,cross=0.75,inst=BALANCED",-0.7100366666666666,0.025138272556530946,0.9893033333333333,0.020172061309426562,30
"pop=50,p0=0.050,cross=0.75,inst=EXPONENTIAL",-0.7033766666666667,0.01979105829675986,0.9939,0.01658645063983208,30
"pop=50,p0=0.050,cross=0.75,inst=PIECEWISE",-0.6921033333333333,0.02485532598629633,0.9873733333333333,0.022947675614143452,30
