configuracion,fitness_promedio,fitness_std,winrate_promedio,winrate_std,n_seeds
"pop=50,p0=0.002,cross=0.25,inst=BALANCED",0.80047,0.014681401558575322,0.99759,0.00922710960833012,30
"pop=50,p0=0.002,cross=0.25,inst=EXPONENTIAL",0.8025833333333333,0.02427408272116628,0.9947166666666667,0.013702304949151454,30
"pop=50,p0=0.002,cross=0.25,inst=PIECEWISE",0.7482566666666667,0.017111876966987957,0.9832866666666666,0.033645635402072514,30
"pop=50,p0=0.002,cross=0.50,inst=BALANCED",0.80622,0.021283187471934677,1.0,0.0,30
"pop=50,p0=0.002,cross=0.50,inst=EXPONENTIAL",0.7896166666666666,0.017132306311183836,0.99855,0.007941977083824905,30
"pop=50,p0=0.002,cross=0.50,inst=PIECEWISE",0.7435466666666667,0.011110719686592,0.9904166666666667,0.02373911486792723,30
"pop=50,p0=0.002,cross=0.75,inst=BALANCED",0.8006166666666666,0.017745054353903465,0.9964233333333333,0.010984022356424657,30
"pop=50,p0=0.002,cross=0.75,inst=EXPONENTIAL",0.7973399999999999,0.02228688496356794,0.9974333333333333,0.009767763070544798,30
"pop=50,p0=0.002,cross=0.75,inst=PIECEWISE",0.74424,0.01602163623311324,0.9960333333333333,0.012136389661797633,30
"pop=50,p0=0.020,cross=0.25,inst=BALANCED",0.84174,0.01254881777643642,0.9964233333333333,0.010927841170317141,30
"pop=50,p0=0.020,cross=0.25,inst=EXPONENTIAL",0.8382499999999999,0.014072784936254417,0.9972666666666666,0.010422731567748122,30
"pop=50,p0=0.020,cross=0.25,inst=PIECEWISE",0.7907866666666666,0.01740348227804708,0.97234,0.027672662970196216,30
"pop=50,p0=0.020,cross=0.50,inst=BALANCED",0.8450766666666667,0.011693726090731629,1.0,0.0,30
"pop=50,p0=0.020,cross=0.50,inst=EXPONENTIAL",0.83553,0.014764032483451591,0.9987666666666667,0.006755244875897055,30
"pop=50,p0=0.020,cross=0.50,inst=PIECEWISE",0.7858766666666667,0.01802413484141774,0.97738,0.02650697240740437,30
"pop=50,p0=0.020,cross=0.75,inst=BALANCED",0.8436266666666666,0.011287861449005917,0.99754,0.009520924324875182,30
"pop=50,p0=0.020,cross=0.75,inst=EXPONENTIAL",0.8429933333333334,0.01835083260975547,0.9987166666666667,0.0070291061546496275,30
"pop=50,p0=0.020,cross=0.75,inst=PIECEWISE",0.7845933333333334,0.01946421886672965,0.97616,0.030020080635789606,30
"pop=50,p0=0.050,cross=0.25,inst=BALANCED",0.85925,0.015302957793883474,1.0,0.0,30
"pop=50,p0=0.050,cross=0.25,inst=EXPONENTIAL",0.8526066666666666,0.016018543851625103,1.0,0.0,30
"pop=50,p0=0.050,cross=0.25,inst=PIECEWISE",0.79837,0.015625181929975335,0.9743333333333334,0.028727054811813185,30
"pop=50,p0=0.050,cross=0.50,inst=BALANCED",0.8535733333333333,0.012618785485395842,1.0,0.0,30
"pop=50,p0=0.050,cross=0.50,inst=EXPONENTIAL",0.84942,0.01694527500005787,0.99885,0.006298809411309406,30
"pop=50,p0=0.050,cross=0.50,inst=PIECEWISE",0.79664,0.01245598042210497,0.9826533333333334,0.027089605250790908,30
"pop=50,p0=0.050,cross=0.75,inst=BALANCED",0.85646,0.015029203755263999,1.0,0.0,30
"pop=50,p0=0.050,cross=0.75,inst=EXPONENTIAL",0.8498066666666667,0.013510071168891215,0.9974833333333333,0.009579506982250628,30
"pop=50,p0=0.050,cross=0.75,inst=PIECEWISE",0.7985800000000001,0.012837348528468764,0.96977,0.034457531582494705,30
