rank,fitness,winrate,genome
1,-0.6811,0.9600,"34 14 20 32 37 21 34 8 32 40 25 36 7 2 25 36 1 38 2 14 10 17 1 22 37 20 12 6 24 7 0 14 39 2 27 14 38 36 16 39 2 41 37 15 30 32 40 37 9 10 10 34 17 12 41 32 22 0 40 8 28 37 1 11 11 35 41 41 42 41 13 25 32 40 12 23 37 37 37 0 20 34 22 10 0 9 4 34 2 10 3 2 13 11 21 40 32 27 37 20 41 5 23 2 5 22 35 34 29 28 3 28 25 25 11 23 23 0 12 12 18 29 14 36 0 15 3 28 27 9 24 39 9 0 14 10 22 20 8 20 39 14 28 18 40 18 34 29 3 39 8 3 33 33 3 38 5 22 38 41 1 32 7 17 0 40 13 38 15 16 17 35 42 17 30 6 31 41 4 18 33 6 26 1 24 34 17 36 14 21 0 15 26 18 34 31 26 35 34 21 16 28 20 19 13 35 27 7 18 10 16 37 25 27 25 39 16 32 4 15 38 31 14 37 30 0 2 13 13 38 2 3 19 22 29 5 15 35 16 39 19 41 39 33 37 24 11 0 31 1 19 7 34 19 8 39 27 32 42 14 32 25 7 18 5 32 41 33 20 42 37 34 27 4 38 34 42 35 10 29 27 36 23 5 41 4 21 30 11 39 29 36 10 33 19 2 36 29 9 32 20 21 19 2 38 7 3 26 2 28 35 29 37 24 29 26 35 41 20 23 26 9 8 28 41 31 13 16 33 7 30 37 15 17 3 14 32 4 14 15 19 33 2 6 34 9 34 18 27 28 5 21 12 9 22 18 11 39 13 19 37 24 26 21 4 23 37 42 23 16 8 9 40 23 34 36 39 2 32 14 1 41 24 36 29 12 11 41 5 2 2 28 41 17 18 8 2 9 9 31 27 26 20 22 36 31 15 4 38 18 30 42 20 13 0 29 34 0 18 22 35 3 10 22 13 13 23 38 0 22 11 25 33 16 33 39 12 38 3 29 13 18 18 22 10 33 27 28 20 2 20 14 15 26 16 37 26 13 14 35 39 15 11 5 2 42 35 39 27 18 2 9 17 26 33 24 5 22 36 19 11 27 20 2 39 24 32 38 34 42 26 7 10 31 37 2 19 42 9 11"
2,-0.6763,0.9615,"42 25 5 28 22 2 16 13 2 39 8 22 28 23 1 29 12 30 33 33 12 37 25 39 39 14 3 30 36 29 38 23 28 29 17 0 19 38 10 39 0 40 8 1 16 20 0 41 13 32 21 35 16 9 16 25 35 13 2 9 0 39 21 33 1 5 0 32 28 7 8 1 36 34 36 16 42 17 30 18 29 41 8 25 1 38 0 35 0 26 36 35 31 16 10 10 9 10 13 12 41 39 33 13 9 23 5 21 12 30 35 29 38 36 16 10 28 8 23 13 23 36 11 39 39 0 26 9 6 1 30 35 1 33 13 18 40 14 28 35 15 42 29 13 33 29 37 17 14 0 7 12 9 10 4 2 14 22 18 2 3 23 17 29 41 26 2 1 13 8 37 19 7 12 42 4 29 5 26 18 16 17 8 18 22 35 0 14 38 10 15 19 42 16 35 19 32 18 35 31 37 28 36 19 13 35 27 40 28 32 16 37 25 27 25 22 16 32 4 11 38 8 14 37 30 0 20 13 13 38 2 3 19 22 8 8 15 37 16 39 19 41 39 33 37 24 11 0 31 1 39 7 34 19 8 39 27 33 42 37 34 25 7 18 13 32 41 33 20 15 37 34 27 4 38 34 42 8 10 29 27 36 23 5 35 2 21 30 11 39 29 36 10 33 19 2 36 29 9 32 20 21 19 2 38 7 3 26 35 31 35 29 37 24 29 26 35 42 20 23 26 18 8 28 41 31 3 16 33 7 14 37 15 17 3 14 35 4 14 15 4 20 2 35 34 9 34 40 27 28 5 21 12 9 22 22 11 39 13 19 37 8 26 4 4 23 29 42 8 16 8 9 40 23 34 42 39 2 32 14 39 42 24 36 29 14 11 41 5 2 2 28 41 17 18 1 2 9 9 31 1 2 13 17 38 24 39 38 42 27 9 13 23 1 21 0 1 9 22 31 34 16 27 26 29 1 33 39 11 14 31 25 26 23 24 40 8 37 21 34 34 19 9 7 17 14 7 10 21 15 26 2 42 23 4 21 28 1 16 12 16 31 33 7 23 2 0 35 23 8 8 41 14 39 33 37 18 2 27 19 23 32 39 22 30 8 28 16 16 41 37 33 39 37 10 23 26 22 33 5"
3,-0.6762,0.9615,"34 14 20 32 37 21 34 36 40 7 25 0 7 2 25 36 1 38 2 14 10 17 1 22 37 20 12 6 24 36 0 25 39 2 27 2 38 36 10 39 2 41 37 16 30 32 2 37 9 10 10 34 17 12 41 20 22 0 40 8 28 37 8 11 11 35 41 41 12 41 13 25 23 40 42 23 37 37 37 0 20 34 22 10 0 9 4 34 24 10 19 2 13 11 10 40 24 27 29 20 41 39 33 13 9 24 5 21 12 30 35 29 38 36 16 10 25 8 23 13 23 36 11 39 39 0 26 9 6 1 30 9 1 33 13 18 40 14 28 35 15 42 29 13 33 29 37 36 14 0 7 12 9 10 41 2 14 22 18 2 8 23 17 29 41 26 2 1 35 8 37 4 7 12 42 4 29 5 26 8 16 17 8 18 22 35 0 14 38 2 15 19 42 16 41 18 1 18 35 31 16 28 3 19 13 35 27 40 13 2 16 37 25 27 25 2 16 32 14 14 38 18 14 37 30 0 2 13 10 38 2 41 19 22 29 5 30 15 16 39 19 41 39 33 37 24 11 0 31 1 17 7 34 32 8 40 27 32 42 25 32 25 7 18 5 2 41 33 20 42 16 34 27 4 38 34 42 35 10 29 27 36 23 5 41 4 21 11 11 39 29 39 10 33 19 2 23 29 9 32 30 25 7 38 8 32 7 30 3 21 35 6 23 28 27 0 2 10 21 3 35 9 6 34 37 42 34 11 23 36 2 7 16 24 0 41 7 3 19 41 14 29 9 9 15 1 38 4 18 2 37 36 12 28 20 14 4 19 2 19 24 29 30 8 12 35 35 1 39 28 0 15 1 13 14 39 15 25 10 39 28 32 37 41 23 42 18 12 16 2 31 29 0 42 15 9 1 27 1 4 30 39 17 34 20 12 29 12 12 21 27 6 37 40 21 1 19 18 2 31 16 26 11 26 1 13 5 42 7 15 7 26 27 17 23 3 1 28 35 25 32 2 26 20 23 15 22 15 16 18 40 19 2 32 36 2 22 41 26 30 34 35 4 9 15 10 4 4 3 31 41 27 42 13 34 30 16 41 14 38 4 7 40 4 4 12 29 20 1 2 24 7 28 0 17 39 13 30 39 42"
4,-0.5664,0.8654,"1 11 2 28 22 2 16 13 2 39 25 26 28 23 41 29 12 25 33 39 12 37 25 39 39 14 25 2 36 29 38 23 28 0 17 0 19 38 24 39 0 40 21 1 9 16 0 41 13 32 21 35 32 9 16 25 35 13 2 9 0 39 21 33 1 5 0 32 28 7 8 1 41 34 36 16 42 17 30 25 29 36 8 25 1 38 0 35 8 26 36 40 31 16 10 16 41 39 13 12 17 39 33 21 9 17 5 25 33 30 35 35 38 36 16 38 8 8 23 37 28 15 11 39 39 0 26 9 12 1 42 23 39 10 29 18 40 14 28 35 15 14 29 39 33 29 8 36 14 0 7 12 25 10 4 2 41 22 21 2 8 31 21 25 2 26 2 1 2 8 37 2 7 12 42 4 29 26 26 8 1 2 8 18 18 35 0 14 15 2 15 19 42 36 41 2 36 40 35 4 16 41 22 2 13 35 27 40 21 2 0 37 39 27 25 2 10 0 4 14 39 0 14 38 0 0 2 2 10 38 37 0 9 2 33 17 15 2 9 39 19 41 39 10 37 24 11 34 29 1 10 7 0 36 8 2 27 32 25 14 32 25 7 25 5 2 41 28 20 13 16 13 27 4 38 34 42 35 10 29 27 36 39 5 39 4 1 11 11 39 35 39 10 8 18 2 23 29 35 32 20 32 19 2 2 42 1 1 4 28 35 22 37 31 21 26 35 41 19 1 1 27 37 28 41 31 20 16 29 7 31 23 28 17 29 14 32 7 14 1 19 33 2 14 34 0 0 18 23 28 5 21 0 9 22 18 39 39 13 19 21 24 26 36 27 22 37 37 16 16 8 9 1 23 0 36 39 2 38 14 1 1 31 36 29 18 11 41 1 2 2 28 41 17 34 8 2 9 9 2 1 42 13 17 38 39 39 38 4 27 9 13 34 39 21 0 39 9 22 28 13 16 27 20 25 1 33 39 32 26 32 25 25 23 24 40 4 36 21 34 34 19 9 38 39 14 2 10 39 15 26 2 42 1 12 21 28 1 2 7 16 31 33 39 21 2 0 13 41 33 8 41 14 39 32 39 18 2 27 19 23 32 39 31 30 8 28 16 16 41 37 28 39 16 40 23 26 22 33 12"
5,-0.5271,0.8261,"1 11 2 28 22 2 16 13 2 39 25 22 28 23 41 29 12 25 33 39 12 37 25 39 39 14 25 2 36 29 38 23 28 0 17 0 19 38 24 39 0 40 21 1 9 16 0 41 13 32 21 35 32 9 16 25 35 13 2 9 0 39 21 33 1 5 0 32 28 7 8 1 41 34 36 16 42 17 30 25 29 41 8 25 1 38 0 35 0 26 36 11 23 16 10 10 41 39 13 12 17 39 33 21 9 17 5 25 33 30 35 35 38 36 16 38 33 8 23 37 28 15 11 39 39 0 26 9 12 1 42 23 39 10 29 18 40 14 28 35 15 14 29 39 33 29 8 36 19 0 7 12 25 10 4 2 41 22 21 2 8 31 21 25 2 26 2 1 2 8 37 2 7 12 42 4 29 26 26 8 1 2 8 18 4 35 0 10 15 2 15 19 42 42 41 2 36 40 35 0 16 28 22 2 13 35 27 40 21 2 0 37 39 27 25 2 10 0 4 14 39 0 14 38 0 0 2 2 10 38 37 0 9 2 12 17 15 2 9 39 19 41 39 10 37 24 11 34 37 1 10 7 34 36 8 2 27 32 25 14 32 25 7 25 5 2 41 28 20 13 16 13 27 4 38 34 42 35 10 29 27 36 39 5 41 4 1 11 11 39 35 39 10 8 18 2 23 29 35 32 20 32 19 2 2 42 1 1 1 28 35 22 37 31 21 26 35 41 19 1 1 27 37 28 41 31 20 16 33 7 31 23 28 17 9 14 32 0 14 15 19 33 2 14 34 0 0 18 23 28 5 21 0 9 22 18 39 39 13 19 2 24 26 36 27 22 37 37 16 16 8 9 1 23 0 36 39 2 21 9 1 1 31 36 29 12 11 41 1 2 2 28 41 17 34 8 2 9 9 2 1 42 13 17 38 39 39 38 20 27 14 13 34 39 21 0 39 9 22 28 13 16 39 20 9 1 33 39 32 26 32 25 25 23 23 40 4 36 21 34 34 19 9 38 12 14 7 10 39 15 36 2 42 23 12 21 28 1 2 7 16 31 33 39 21 2 0 13 41 33 8 41 14 39 32 39 18 2 27 19 23 32 39 31 30 8 28 16 16 41 37 28 39 16 40 23 26 14 33 12"
6,-0.5267,0.8261,"1 11 2 28 22 2 16 13 2 39 25 22 28 23 41 29 12 25 33 39 12 37 25 39 39 14 25 2 36 29 38 23 28 0 17 0 1 38 24 39 0 40 21 1 35 16 0 41 13 32 21 35 32 9 16 25 35 13 2 9 0 39 21 33 1 5 0 32 28 7 8 1 41 34 23 16 42 17 30 25 29 41 8 25 1 38 0 35 0 26 36 11 31 16 10 10 41 39 13 12 17 39 33 21 9 17 5 25 33 30 35 35 38 36 16 38 33 8 23 37 28 15 11 39 39 0 26 9 12 1 42 23 39 10 29 18 40 14 28 35 15 14 29 39 33 29 8 36 14 0 7 12 25 10 4 2 41 22 21 2 8 31 21 25 2 26 2 1 2 8 37 2 7 12 42 4 29 26 26 8 1 2 8 18 4 35 0 14 15 2 15 19 42 36 41 2 36 40 35 4 16 28 22 2 13 35 27 40 21 2 0 37 39 27 25 2 10 0 4 14 39 0 14 38 0 0 2 2 10 38 37 0 9 2 33 17 15 2 9 39 36 41 39 10 37 24 11 34 37 1 10 7 34 36 8 2 27 32 25 14 32 25 7 25 5 2 41 28 20 13 16 13 27 4 38 34 42 35 39 29 27 36 39 5 41 4 1 11 11 39 35 39 10 8 18 2 23 29 35 32 20 32 19 2 2 42 1 1 18 28 35 22 37 31 21 26 35 41 19 1 1 27 37 28 41 31 20 16 33 7 31 23 28 17 9 14 32 7 14 15 19 33 2 14 19 0 0 18 34 28 5 21 0 9 22 18 39 39 13 19 21 24 26 36 27 22 37 37 16 16 8 9 1 23 0 36 39 2 38 9 1 1 31 40 29 12 11 41 1 2 2 28 41 17 34 8 2 9 9 2 1 42 13 17 38 39 39 38 20 27 14 13 34 39 21 0 39 9 22 28 13 16 39 20 9 1 33 39 32 26 32 25 25 23 23 40 4 36 21 34 34 19 9 38 12 14 7 10 39 15 36 2 42 23 12 21 28 1 2 7 16 31 33 39 21 2 0 13 41 33 8 41 14 39 32 39 18 2 27 19 23 32 39 31 30 8 28 16 16 41 37 28 39 16 40 23 26 14 33 12"
7,-0.5063,0.8056,"1 11 2 28 22 2 16 13 2 39 25 26 28 23 41 29 12 25 33 39 12 37 25 39 39 14 25 2 36 29 38 23 28 0 17 0 19 38 24 39 0 40 21 1 9 16 0 41 13 32 21 35 32 9 16 25 35 13 2 9 0 39 21 33 1 5 0 32 28 7 8 1 41 34 36 16 42 17 30 25 29 36 8 25 1 38 0 35 8 26 36 40 31 16 10 16 41 39 13 12 17 39 33 21 9 17 5 25 33 30 35 35 38 36 16 38 33 8 23 37 28 15 11 39 39 0 26 9 12 1 0 23 39 10 29 18 40 14 28 35 15 14 29 39 33 29 8 36 14 0 7 12 25 10 4 2 41 22 21 2 8 31 21 25 2 26 2 1 2 8 37 2 7 12 42 4 29 26 26 8 1 2 8 18 4 35 0 14 15 2 15 19 42 36 41 2 36 40 35 4 16 28 22 2 13 35 27 40 21 2 0 37 39 27 25 2 10 0 4 14 39 0 14 38 0 0 2 2 10 38 37 0 9 2 33 17 15 2 9 39 36 41 39 10 37 24 11 34 37 1 10 7 34 36 8 2 27 32 25 14 32 25 7 25 5 2 41 28 20 13 16 13 27 4 38 34 42 35 39 29 27 36 39 5 41 4 1 11 11 39 35 39 10 8 18 2 23 29 35 32 20 32 19 2 2 42 1 1 4 28 35 22 37 31 21 26 35 41 19 1 1 34 37 28 41 31 20 16 29 7 31 23 28 17 29 14 32 7 14 1 19 33 2 14 34 0 0 18 23 28 5 21 0 9 22 18 39 39 13 19 21 24 26 36 27 22 37 37 16 16 8 9 1 23 0 36 39 2 38 14 1 1 31 36 29 12 11 41 1 2 2 28 41 17 34 8 2 9 9 2 1 42 13 17 38 39 39 38 20 27 14 13 34 39 21 0 39 9 22 28 13 16 39 20 9 1 33 39 32 26 32 25 25 23 23 40 4 36 21 34 34 19 9 38 12 14 7 10 39 15 36 2 42 23 12 21 28 1 2 7 16 31 33 39 21 2 0 13 41 33 8 41 14 39 32 39 18 2 27 19 23 32 39 31 30 8 12 16 16 41 37 28 39 16 40 23 26 14 33 12"
8,-0.5053,0.8043,"1 11 2 28 22 2 16 13 2 39 25 22 28 23 41 29 12 25 33 39 12 37 25 39 39 14 25 2 36 29 38 23 28 0 17 0 19 38 24 39 0 40 21 1 9 16 0 41 13 32 21 35 32 9 16 25 35 13 2 9 0 39 21 33 1 5 0 32 28 7 8 1 41 34 36 16 42 17 30 25 29 41 8 25 1 38 0 35 0 26 36 11 23 16 10 10 41 39 13 12 17 39 33 21 9 17 5 25 33 30 35 35 38 36 16 38 33 8 23 37 28 15 11 39 39 0 26 9 12 1 42 23 39 10 29 18 40 14 28 35 15 14 29 39 33 29 8 36 19 0 7 12 25 10 4 2 41 22 21 2 8 31 21 25 2 26 2 1 2 8 37 2 7 12 42 4 29 26 26 8 1 2 8 18 4 35 0 14 15 2 15 19 42 42 41 2 36 40 35 0 16 28 22 2 13 35 27 40 21 2 0 37 39 27 25 2 10 0 4 14 39 0 14 38 0 0 2 2 10 38 37 0 9 2 12 17 15 2 9 39 19 41 39 10 37 24 11 34 37 1 10 7 34 36 8 2 27 32 25 14 32 25 7 25 5 2 41 28 20 13 16 13 27 4 38 34 42 35 10 29 27 36 39 5 41 4 1 11 11 39 35 39 10 8 18 2 23 29 35 32 20 32 19 2 2 42 1 1 1 28 35 22 37 31 21 26 35 41 19 1 1 27 37 28 41 31 20 16 33 7 31 23 28 17 9 14 32 0 14 15 19 33 2 14 34 0 0 18 23 28 5 21 0 9 22 18 39 39 13 19 2 24 26 36 27 22 37 37 16 16 8 9 1 23 0 36 39 2 21 9 1 1 31 36 29 12 11 41 1 2 2 28 41 17 34 8 2 9 9 2 1 42 13 17 38 39 39 38 20 27 14 13 34 39 21 0 39 9 22 28 13 16 39 20 9 1 33 39 32 26 32 25 25 23 23 40 4 36 21 34 34 19 9 38 12 14 7 10 39 15 36 2 42 23 12 21 28 1 2 7 16 31 33 39 21 2 0 13 41 33 8 41 14 39 32 39 18 2 27 19 23 32 39 31 30 8 28 16 16 41 37 28 39 16 40 23 26 14 33 12"
9,-0.5051,0.8043,"1 11 2 28 22 2 16 13 2 39 25 26 28 23 41 29 12 25 33 39 12 37 25 39 39 14 25 2 36 29 38 23 28 0 17 0 19 38 24 39 0 40 21 1 9 16 0 41 13 32 21 35 32 9 16 25 35 13 2 9 0 39 21 33 1 5 0 32 28 7 8 1 41 34 36 16 42 17 30 25 29 36 8 25 1 38 0 35 8 26 36 40 31 16 10 16 41 39 13 12 17 39 33 21 9 17 5 25 33 30 35 35 38 36 16 38 8 8 23 37 28 15 11 39 39 0 26 9 12 1 42 23 39 10 29 18 40 14 28 35 15 14 29 39 33 29 8 36 14 0 7 12 25 10 4 2 41 22 21 2 8 31 21 25 2 26 2 1 2 8 37 2 7 12 42 4 29 26 26 8 1 2 8 18 4 35 0 14 15 2 15 19 42 36 41 2 36 40 35 4 16 41 22 2 13 35 27 40 21 2 0 37 39 14 25 2 10 0 4 14 39 0 14 38 0 0 2 2 10 38 37 0 9 2 33 17 15 2 9 39 19 41 39 10 37 24 11 34 29 1 10 7 0 36 8 2 27 32 25 14 32 25 7 25 5 2 41 28 20 13 16 13 27 4 38 34 42 35 10 29 27 36 39 5 39 4 1 11 11 39 35 39 10 8 18 2 23 29 35 32 20 32 19 2 2 42 1 1 4 28 35 22 37 31 21 26 35 41 19 1 1 27 37 28 41 31 20 16 29 7 31 23 28 17 29 14 32 7 14 1 19 33 2 14 34 0 0 18 23 28 5 21 0 9 22 18 39 39 13 19 21 24 26 36 27 22 37 37 16 16 8 28 1 23 0 36 39 2 38 14 1 1 31 36 29 12 11 41 1 2 2 28 41 17 34 8 2 9 9 2 1 42 13 17 38 39 39 38 20 27 14 13 34 39 21 0 39 9 22 28 13 16 39 20 9 1 33 39 32 26 32 25 25 23 23 40 4 36 21 34 34 19 9 38 12 14 7 10 39 15 36 2 42 23 12 21 28 1 2 7 16 31 33 39 21 2 0 13 41 33 8 41 14 39 32 39 18 2 27 19 23 32 39 31 30 8 28 16 16 41 37 28 39 16 40 23 26 14 33 12"
10,-0.5010,0.8000,"1 11 2 28 22 2 16 13 2 39 25 26 28 23 41 29 12 25 33 39 12 37 25 39 39 14 25 2 36 29 38 23 28 0 17 0 19 38 24 39 0 40 21 1 9 16 0 41 13 32 21 35 32 9 16 25 35 13 2 9 0 39 21 33 1 5 0 32 28 7 8 1 41 34 36 16 42 17 30 25 29 36 8 25 1 38 0 35 8 26 36 40 31 16 10 16 41 39 13 12 17 39 33 21 9 17 5 26 33 30 35 35 38 36 16 38 33 8 23 37 16 15 11 39 39 0 26 9 12 18 42 23 39 10 29 18 40 14 28 35 15 14 29 39 33 29 8 36 14 0 7 12 25 10 4 2 41 22 21 2 8 31 21 25 2 26 2 1 2 8 37 2 39 12 42 4 29 26 26 8 1 2 8 18 4 35 0 14 15 2 15 19 42 42 41 2 42 40 35 39 16 28 22 2 13 35 27 40 21 2 0 37 39 27 25 2 10 0 4 14 39 0 14 38 0 0 2 2 10 38 37 0 9 2 33 17 15 2 9 39 19 41 39 10 37 24 11 34 37 1 10 7 34 36 8 2 27 32 25 14 32 25 7 25 5 2 41 28 20 13 16 13 27 4 38 34 42 35 10 29 27 36 39 5 41 4 1 11 11 39 35 39 5 8 18 2 23 29 35 32 20 32 19 2 2 42 1 1 1 28 35 22 37 31 21 26 35 41 19 1 1 27 37 28 41 31 20 16 33 7 31 23 28 17 9 14 32 0 14 15 19 33 2 14 34 0 0 18 23 28 5 21 9 9 22 18 39 39 13 19 2 24 26 36 27 22 37 37 16 16 8 9 1 23 0 36 39 2 21 9 1 1 31 36 29 12 11 41 1 2 2 28 41 17 34 8 2 9 19 2 1 42 13 17 38 39 39 38 20 27 14 13 34 39 21 0 39 9 22 28 13 16 39 20 9 1 33 39 32 26 32 25 25 23 23 40 4 36 21 34 34 19 9 38 12 14 7 10 39 15 36 2 42 23 12 21 28 1 2 7 16 31 33 39 21 2 0 13 41 33 8 41 14 39 32 39 18 2 27 19 23 32 39 31 30 39 28 16 16 41 37 28 39 16 40 23 26 14 33 12"
